Temp	16-654-- V. stam	16-663-- V. myrs	17-1611-- V. fus	17-607-- V. fus	17-609-- V. fus	17-628-- V. fus	17-724-- Hybrid	18-667-- V. fus	18-668-- V. stam	18-671-- V. stam	20-706-- V. ell	21-5541-- V. arb	22-2000-- V. myrs	22-2001-- V. myrs	23-2500-- V. ell	98-403-- V. darr	Alapaha-- RB	Alaska (wild)-- V. mic	Arcadia-- SHB	Avanti-- SHB	BBP Draper-- NHB	BBP Duke-- NHB	Blomidon-- LB	Brunswick-- LB	Chickadee-- SHB	Colorado-- V. myrt	Crassifolium #1-- V. cras	Darrow Juliana Type-- V. darr	Draper-- NHB	Duke-- NHB	Elliott-- NHB	Emerald-- SHB	Erin's Bilberry-- V. myrt	Fundy-- LB	fus226-- V. fus	fus4-- V. fus	fus81-- V. fus	GE-2004-060-- V. myrt	Gritless Sparkleberry-- V. arb	Indigocrisp-- SHB	Jewel-- SHB	Kestrel-- SHB	Legacy-- NHB	Ling (Red Sunset)-- V. vit	Ling (Sana)-- V. vit	Ling (wild) W1-- V. vit	Macro Ben Lear-- V. mac	Macro Bud's Blues-- V. mac	Macro Howes-- V. mac	Macro Murphy's Green-- V. mac	Macro Pilgrim-- V. mac	Macro Potters Favorite-- V. mac	Macro Stevens-- V. mac	Ochlockonee-- RB	Oleno yellow-- V. ell	Oxy (wild) BB09-- V. oxy	Oxy (wild) GyPL08-- V. oxy	Oxy (wild) LolPlo-- V. oxy	Oxy (wild) P16-- V. oxy	Oxy (wild) pmw19-- V. oxy	Palmetto-- SHB	Pink Lemonade #2-- Hybrid	Rosa's Blush-- V. darr	Snowchaser-- SHB	Spark#17-- V. arb	Spark#30-- V. arb	Tenellum 21-1153A-- V. ten	Vernon-- RB
59.54	1.95325775	1.894953377	1.812828645	1.722248271	1.63160458	2.538076315	2.032400554	1.470013293	1.763967345	1.171607813	2.004217992	2.186180228	1.92471616	1.422788623	1.964304542	1.847612976	1.534945298	2.524971585	1.96060276	2.024492068	2.18905167	2.052946839	2.468967473	2.466933942	1.629977448	1.860127657	2.124821845	1.376563478	1.844025572	1.865831148	1.977950983	1.902846198	1.945450018	1.978095771	2.025890796	1.470696832	1.548153299	2.187018652	1.70308997	1.60916309	2.071587154	2.087196098	2.0348111	2.988258025	2.15455727	2.784954288	2.328444304	2.504808799	2.328489286	1.469041076	2.083484464	2.539578652	2.554262129	1.863980825	2.568738876	2.445187213	2.650776469	1.631748222	2.401506766	2.530773629	1.347306526	1.880855835	2.137453154	1.278435639	2.062361104	2.413109763	1.699311327	1.897386437
59.81716535	1.95325775	1.894953377	1.812828645	1.722248271	1.63160458	2.538076315	2.032400554	1.470013293	1.763967345	1.171607813	2.004217992	2.186180228	1.92471616	1.422788623	1.964304542	1.847612976	1.534945298	2.524971585	1.96060276	2.024492068	2.18905167	2.052946839	2.468967473	2.466933942	1.629977448	1.860127657	2.124821845	1.376563478	1.844025572	1.865831148	1.977950983	1.902846198	1.945450018	1.978095771	2.025890796	1.470696832	1.548153299	2.187018652	1.70308997	1.60916309	2.071587154	2.087196098	2.0348111	2.988258025	2.15455727	2.784954288	2.328444304	2.504808799	2.328489286	1.469041076	2.083484464	2.539578652	2.554262129	1.863980825	2.568738876	2.445187213	2.650776469	1.631748222	2.401506766	2.530773629	1.347306526	1.880855835	2.137453154	1.278435639	2.062361104	2.413109763	1.699311327	1.897386437
60.09433071	2.308566261	2.139151717	2.167996522	2.04962558	1.985781461	2.873385309	2.26528859	1.778974807	2.096327971	1.598267206	2.428990209	2.444284156	2.400145006	1.704888376	2.204540372	2.334463207	1.852601334	2.982394096	2.354957552	2.458230591	2.48829345	2.291490229	2.888582469	2.922322598	1.92035922	2.220327327	2.571387367	1.627947627	2.251121457	2.232370007	2.496003904	2.205349297	2.27640074	2.398662905	2.385826768	1.708296473	1.862019173	2.601743525	2.131435593	2.05917868	2.311197813	2.4121135	2.484714737	3.438314583	2.597778721	3.354774917	2.8139827	2.892522282	2.823623594	1.622501307	2.45600028	2.926348562	2.986483276	2.211259199	3.022744745	2.908263072	3.1365814	2.08151478	2.933075979	3.00459795	1.643653553	2.350247658	2.62704953	1.581816715	2.391217402	2.824500074	2.135080621	2.260753559
60.37149606	2.763493667	2.44519351	2.64766271	2.509523133	2.48998887	3.338158826	2.623186729	2.194059895	2.542134005	2.234071677	2.938565686	2.818804177	2.961722722	2.063514345	2.528937761	2.915152203	2.315792435	3.515048927	2.902160063	2.958493884	2.960762899	2.67140837	3.445655417	3.4557392	2.384547307	2.72098414	3.092527683	2.012713263	2.840790929	2.763597556	3.133893585	2.625672128	2.756688946	2.981548995	2.905287214	2.12137418	2.286209139	3.130559166	2.726188653	2.720268542	2.663941455	2.841188163	3.054563469	3.970736701	3.119411401	3.993576117	3.412026871	3.399962319	3.459540346	1.882747241	2.918842602	3.40936834	3.482863736	2.644021796	3.558449295	3.501772377	3.737459492	2.642815671	3.561165813	3.568543557	2.033007471	2.958951274	3.218760243	1.961532246	2.808375984	3.350470751	2.698640027	2.774176915
60.64866142	3.151462492	2.689272885	3.095348142	2.928479896	2.936501868	3.726804307	2.923262702	2.561307099	2.936650737	2.792504003	3.330582761	3.187382717	3.383031756	2.400575098	2.811465677	3.367818628	2.739996407	3.875422545	3.380371551	3.328884836	3.415266501	3.062033747	3.924287928	3.853219972	2.83799811	3.169512213	3.509241284	2.416048823	3.35294428	3.255035357	3.668515889	3.012503657	3.206223238	3.492764763	3.378427794	2.550363155	2.634403965	3.518346227	3.230103648	3.294153981	2.975946084	3.185858768	3.515294716	4.397924008	3.516667054	4.455079731	3.925928855	3.816627138	4.020570003	2.146157044	3.279527816	3.784376901	3.869705589	2.983439459	3.9605678	3.991657042	4.188346677	3.04888281	4.044160635	3.992615652	2.312284408	3.453351586	3.700029289	2.244115699	3.176948044	3.770142613	3.189408277	3.244968298
60.92582677	3.362541694	2.826494284	3.348210702	3.136858021	3.154327364	3.903275372	3.025973907	2.78658382	3.155432426	3.073183705	3.495882257	3.434732808	3.575978345	2.617499148	2.930196763	3.583264007	2.967008934	3.954144817	3.61295456	3.483285829	3.645047306	3.31378606	4.171766043	4.013282622	3.1098261	3.41294227	3.716035768	2.683746627	3.597689789	3.516964533	3.954204908	3.271752694	3.429222751	3.75718203	3.604522578	2.805962548	2.789062249	3.649069056	3.483125788	3.596735807	3.113910338	3.353487021	3.720903886	4.601256182	3.702010119	4.620358644	4.227057845	4.011583211	4.309328224	2.276928296	3.468312526	3.944201818	4.062339617	3.145797112	4.131002315	4.23901473	4.361263823	3.164406972	4.254369546	4.186076816	2.389406755	3.676146669	3.928722376	2.354226877	3.362337879	3.950955189	3.461944018	3.51947133
61.20299213	3.371196011	2.816190557	3.351407546	3.117018137	3.136042408	3.869583341	2.952262471	2.866810474	3.205619732	3.130379529	3.46790025	3.49411428	3.568168521	2.623683411	2.860816043	3.549464431	2.974300186	3.833090674	3.572422246	3.422090646	3.609070167	3.379378211	4.156713219	3.955995483	3.17188433	3.441209282	3.688757251	2.718463195	3.581722943	3.524790526	3.964872642	3.397133742	3.394124356	3.736865576	3.571692058	2.820330314	2.785210456	3.588518449	3.532559654	3.690120344	3.063531608	3.358111395	3.664909954	4.556750411	3.668436998	4.534289804	4.244295629	4.022816133	4.265128243	2.272839443	3.505487073	3.877809508	4.043055237	3.139277572	4.077513586	4.279548402	4.323116476	3.027719656	4.184388444	4.158933039	2.321917047	3.642249063	3.908838471	2.309936099	3.324492109	3.906500638	3.485571637	3.574601383
61.48015748	3.248060508	2.672972362	3.211508464	2.970019085	2.978930619	3.707283079	2.794418402	2.808021164	3.147818651	3.09073289	3.356642628	3.373898623	3.398030041	2.464419968	2.706072003	3.344827943	2.851478626	3.654380044	3.365181052	3.2299371	3.435187659	3.302242483	3.962643127	3.770513069	3.085062324	3.329055563	3.52118264	2.575112241	3.41882532	3.378742267	3.821579775	3.391189672	3.204010433	3.549343516	3.404683047	2.683372124	2.671927651	3.433422123	3.461088879	3.69814438	2.907394704	3.237664191	3.469524058	4.353510623	3.480560847	4.323570661	4.054724623	3.92363575	4.034710088	2.184469629	3.409971547	3.667907887	3.898931457	3.01079031	3.905827861	4.205680321	4.189636211	2.770248811	3.951434716	3.982787986	2.197273664	3.494490417	3.740677552	2.170868047	3.164877877	3.749011926	3.349734877	3.461799123
61.75732283	3.144129443	2.534834957	3.106882843	2.84500011	2.860769068	3.559274512	2.681002582	2.707240625	3.078322397	3.052413599	3.256028024	3.185498273	3.186308837	2.320452795	2.6033537	3.138619218	2.737853583	3.557205984	3.170610671	3.056177305	3.292384862	3.172667971	3.778768668	3.600622872	2.961781325	3.184667168	3.350186754	2.418191369	3.293215104	3.242004872	3.71408466	3.296059011	3.025558813	3.390571282	3.251191036	2.567890855	2.538897469	3.313952183	3.363759897	3.712440676	2.764499664	3.112345304	3.289788119	4.12371112	3.291259798	4.101983239	3.83572748	3.785000862	3.886555388	2.09070127	3.272922594	3.497094682	3.773334688	2.881973255	3.77355914	4.095401139	4.061411278	2.564555422	3.73696077	3.794974733	2.104263168	3.403919679	3.572846889	2.040831509	3.010109668	3.600368829	3.197307651	3.314733388
62.03448819	3.11371008	2.485223934	3.078315352	2.850350866	2.882155567	3.495960542	2.659918737	2.656725711	3.079095391	3.054510243	3.163059718	3.044650749	3.071473722	2.247432249	2.601383623	3.050974255	2.72507672	3.564268348	3.116468278	2.970084975	3.215423003	3.067296119	3.71500186	3.541464502	2.919728385	3.102469932	3.232928575	2.338554263	3.289940522	3.19364999	3.703450074	3.20397568	2.956744968	3.279432901	3.167432474	2.548097426	2.463598675	3.299086052	3.323384749	3.738476434	2.704976824	3.065659736	3.16914208	3.94218348	3.191009459	3.963156489	3.666888268	3.663177135	3.909520955	2.084881347	3.179218096	3.459464395	3.713801168	2.831860851	3.734123205	4.011967261	4.024956175	2.507593905	3.644667293	3.70990755	2.103978054	3.428305779	3.507105223	1.988250928	2.92961228	3.513953358	3.109263293	3.21401256
